file_name,label
ADD2023_T1.2R1_E_00000000,spoof
ADD2023_T1.2R1_E_00000001,bonafide
ADD2023_T1.2R1_E_00000002,bonafide
ADD2023_T1.2R1_E_00000003,bonafide
ADD2023_T1.2R1_E_00000004,bonafide
ADD2023_T1.2R1_E_00000005,bonafide
ADD2023_T1.2R1_E_00000006,spoof
ADD2023_T1.2R1_E_00000007,bonafide
ADD2023_T1.2R1_E_00000008,spoof
ADD2023_T1.2R1_E_00000009,bonafide
ADD2023_T1.2R1_E_00000010,spoof
ADD2023_T1.2R1_E_00000011,bonafide
ADD2023_T1.2R1_E_00000012,spoof
ADD2023_T1.2R1_E_00000013,bonafide
ADD2023_T1.2R1_E_00000014,bonafide
ADD2023_T1.2R1_E_00000015,bonafide
ADD2023_T1.2R1_E_00000016,bonafide
ADD2023_T1.2R1_E_00000017,bonafide
ADD2023_T1.2R1_E_00000018,bonafide
ADD2023_T1.2R1_E_00000019,spoof
ADD2023_T1.2R1_E_00000020,bonafide
ADD2023_T1.2R1_E_00000021,bonafide
ADD2023_T1.2R1_E_00000022,bonafide
ADD2023_T1.2R1_E_00000023,bonafide
ADD2023_T1.2R1_E_00000024,spoof
ADD2023_T1.2R1_E_00000025,spoof
ADD2023_T1.2R1_E_00000026,spoof
ADD2023_T1.2R1_E_00000027,bonafide
ADD2023_T1.2R1_E_00000028,spoof
ADD2023_T1.2R1_E_00000029,bonafide
ADD2023_T1.2R1_E_00000030,spoof
ADD2023_T1.2R1_E_00000031,spoof
ADD2023_T1.2R1_E_00000032,bonafide
ADD2023_T1.2R1_E_00000033,spoof
ADD2023_T1.2R1_E_00000034,bonafide
ADD2023_T1.2R1_E_00000035,spoof
ADD2023_T1.2R1_E_00000036,bonafide
ADD2023_T1.2R1_E_00000037,spoof
ADD2023_T1.2R1_E_00000038,bonafide
ADD2023_T1.2R1_E_00000039,bonafide
ADD2023_T1.2R1_E_00000040,bonafide
ADD2023_T1.2R1_E_00000041,spoof
ADD2023_T1.2R1_E_00000042,bonafide
ADD2023_T1.2R1_E_00000043,bonafide
ADD2023_T1.2R1_E_00000044,bonafide
ADD2023_T1.2R1_E_00000045,spoof
ADD2023_T1.2R1_E_00000046,bonafide
ADD2023_T1.2R1_E_00000047,spoof
ADD2023_T1.2R1_E_00000048,spoof
ADD2023_T1.2R1_E_00000049,spoof
ADD2023_T1.2R1_E_00000050,bonafide
ADD2023_T1.2R1_E_00000051,bonafide
ADD2023_T1.2R1_E_00000052,bonafide
ADD2023_T1.2R1_E_00000053,spoof
ADD2023_T1.2R1_E_00000054,spoof
ADD2023_T1.2R1_E_00000055,spoof
ADD2023_T1.2R1_E_00000056,bonafide
ADD2023_T1.2R1_E_00000057,bonafide
ADD2023_T1.2R1_E_00000058,bonafide
ADD2023_T1.2R1_E_00000059,bonafide
ADD2023_T1.2R1_E_00000060,bonafide
ADD2023_T1.2R1_E_00000061,bonafide
ADD2023_T1.2R1_E_00000062,spoof
ADD2023_T1.2R1_E_00000063,spoof
ADD2023_T1.2R1_E_00000064,bonafide
ADD2023_T1.2R1_E_00000065,bonafide
ADD2023_T1.2R1_E_00000066,bonafide
ADD2023_T1.2R1_E_00000067,bonafide
