file_name,label
PromptTTS2/audio49,spoof
PromptTTS2/audio35,spoof
PromptTTS2/audio29,spoof
PromptTTS2/audio40,spoof
PromptTTS2/audio9,spoof
PromptTTS2/audio42,spoof
PromptTTS2/audio66,spoof
PromptTTS2/audio36,spoof
PromptTTS2/audio17,spoof
PromptTTS2/audio41,spoof
PromptTTS2/audio70,spoof
PromptTTS2/audio64,spoof
PromptTTS2/audio1,spoof
PromptTTS2/audio8,spoof
PromptTTS2/audio50,spoof
PromptTTS2/audio45,spoof
PromptTTS2/audio2,spoof
PromptTTS2/audio7,spoof
PromptTTS2/audio67,spoof
PromptTTS2/audio44,spoof
PromptTTS2/audio16,spoof
PromptTTS2/audio18,spoof
PromptTTS2/audio27,spoof
PromptTTS2/audio28,spoof
PromptTTS2/audio38,spoof
FlashSpeech/68,spoof
FlashSpeech/81,spoof
FlashSpeech/38,spoof
FlashSpeech/36,spoof
FlashSpeech/10,spoof
FlashSpeech/42,spoof
FlashSpeech/0,spoof
FlashSpeech/17,spoof
FlashSpeech/112,spoof
FlashSpeech/30,spoof
FlashSpeech/88,spoof
FlashSpeech/89,spoof
FlashSpeech/91,spoof
FlashSpeech/54,spoof
FlashSpeech/90,spoof
FlashSpeech/46,spoof
FlashSpeech/49,spoof
FlashSpeech/80,spoof
FlashSpeech/87,spoof
FlashSpeech/77,spoof
FlashSpeech/86,spoof
FlashSpeech/47,spoof
FlashSpeech/101,spoof
FlashSpeech/103,spoof
FlashSpeech/98,spoof
FlashSpeech/25,spoof
FlashSpeech/69,spoof
FlashSpeech/109,spoof
FlashSpeech/44,spoof
FlashSpeech/111,spoof
FlashSpeech/100,spoof
FlashSpeech/28,spoof
FlashSpeech/52,spoof
FlashSpeech/64,spoof
FlashSpeech/78,spoof
FlashSpeech/57,spoof
FlashSpeech/48,spoof
FlashSpeech/6,spoof
FlashSpeech/94,spoof
FlashSpeech/43,spoof
FlashSpeech/83,spoof
FlashSpeech/117,spoof
FlashSpeech/7,spoof
FlashSpeech/59,spoof
FlashSpeech/12,spoof
FlashSpeech/32,spoof
FlashSpeech/84,spoof
FlashSpeech/85,spoof
FlashSpeech/105,spoof
FlashSpeech/74,spoof
FlashSpeech/23,spoof
FlashSpeech/55,spoof
FlashSpeech/40,spoof
FlashSpeech/39,spoof
FlashSpeech/75,spoof
FlashSpeech/58,spoof
FlashSpeech/37,spoof
FlashSpeech/97,spoof
FlashSpeech/53,spoof
FlashSpeech/41,spoof
FlashSpeech/22,spoof
FlashSpeech/21,spoof
FlashSpeech/13,spoof
FlashSpeech/72,spoof
FlashSpeech/73,spoof
FlashSpeech/114,spoof
FlashSpeech/76,spoof
FlashSpeech/11,spoof
FlashSpeech/66,spoof
FlashSpeech/115,spoof
FlashSpeech/29,spoof
FlashSpeech/31,spoof
FlashSpeech/104,spoof
FlashSpeech/71,spoof
FlashSpeech/9,spoof
FlashSpeech/93,spoof
FlashSpeech/16,spoof
FlashSpeech/5,spoof
FlashSpeech/110,spoof
FlashSpeech/92,spoof
FlashSpeech/102,spoof
FlashSpeech/113,spoof
FlashSpeech/27,spoof
FlashSpeech/35,spoof
FlashSpeech/1,spoof
FlashSpeech/67,spoof
FlashSpeech/107,spoof
FlashSpeech/34,spoof
FlashSpeech/18,spoof
FlashSpeech/99,spoof
FlashSpeech/24,spoof
FlashSpeech/45,spoof
FlashSpeech/65,spoof
FlashSpeech/8,spoof
FlashSpeech/70,spoof
FlashSpeech/26,spoof
FlashSpeech/79,spoof
FlashSpeech/116,spoof
FlashSpeech/20,spoof
FlashSpeech/4,spoof
FlashSpeech/60,spoof
FlashSpeech/96,spoof
FlashSpeech/33,spoof
FlashSpeech/63,spoof
FlashSpeech/19,spoof
FlashSpeech/106,spoof
FlashSpeech/108,spoof
FlashSpeech/3,spoof
FlashSpeech/82,spoof
FlashSpeech/51,spoof
FlashSpeech/95,spoof
FlashSpeech/15,spoof
FlashSpeech/56,spoof
FlashSpeech/2,spoof
FlashSpeech/50,spoof
FlashSpeech/61,spoof
FlashSpeech/14,spoof
FlashSpeech/62,spoof
VALLE/librispeech_1284-1180-0002_ours,spoof
VALLE/valle2_vctk_36_5s_valle.vocos_.0,spoof
VALLE/62.valle_,spoof
VALLE/librispeech_1221-135767-0014_ours,spoof
VALLE/81.valle_,spoof
VALLE/valle2_hard_samples_67_valle.0,spoof
VALLE/valle2_hard_samples_40_valle.1,spoof
VALLE/2300-131720-0027.valle_,spoof
VALLE/valle2_librispeech_78_cross_infer_valle.vocos_.0,spoof
VALLE/vctk_p273_ours,spoof
VALLE/valle2_librispeech_1216_conti_infer_valle.vocos_.0,spoof
VALLE/librispeech_61-70970-0024_ours,spoof
VALLE/vctk_p255_ours,spoof
VALLE/librispeech_5639-40744-0020_ours,spoof
VALLE/librispeech_61-70970-0007_ours,spoof
VALLE/vctk_p263_ours,spoof
VALLE/672-122797-0055.valle_,spoof
VALLE/emov_db_amused_ours,spoof
VALLE/valle2_hard_samples_48_valle.0,spoof
VALLE/valle2_hard_samples_0_valle.1,spoof
VALLE/valle2_librispeech_1_conti_infer_valle.vocos_.0,spoof
VALLE/valle2_vctk_27_3s_valle.vocos_.0,spoof
VALLE/valle2_hard_samples_46_valle.0,spoof
VALLE/valle2_vctk_46_10s_valle.vocos_.0,spoof
VALLE/valle2_hard_samples_89_valle.1,spoof
VALLE/1995-1837-0019.valle_,spoof
VALLE/librispeech_7729-102255-0030_ours1,spoof
VALLE/237-126133-0002.valle_,spoof
VALLE/valle2_hard_samples_0_valle.0,spoof
VALLE/valle2_vctk_28_5s_valle.vocos_.0,spoof
VALLE/fisher_1_ours,spoof
VALLE/64.valle_,spoof
VALLE/vctk_diversity_p226_s2,spoof
VALLE/vctk_p233_ours,spoof
VALLE/valle2_vctk_36_10s_valle.vocos_.0,spoof
VALLE/valle2_hard_samples_67_valle.1,spoof
VALLE/31.valle_,spoof
VALLE/vctk_p254_ours,spoof
VALLE/librispeech_121-127105-0006_ours1,spoof
VALLE/librispeech_4077-13754-0000_ours,spoof
VALLE/valle2_vctk_27_5s_valle.vocos_.0,spoof
VALLE/vctk_diversity_p246_s1,spoof
VALLE/valle2_vctk_28_10s_valle.vocos_.0,spoof
VALLE/librispeech_7176-92135-0005_ours1,spoof
VALLE/emov_db_sleepiness_ours,spoof
VALLE/valle2_hard_samples_42_valle.1,spoof
VALLE/librispeech_diversity_sample2_1,spoof
VALLE/fisher_3_ours,spoof
VALLE/valle2_librispeech_74_conti_infer_valle.vocos_.0,spoof
VALLE/librispeech_2830-3980-0008_ours1,spoof
VALLE/valle2_vctk_28_3s_valle.vocos_.0,spoof
VALLE/valle2_hard_samples_42_valle.0,spoof
VALLE/emov_db_neutral_ours,spoof
VALLE/valle2_vctk_46_3s_valle.vocos_.0,spoof
VALLE/emov_db_disgust_ours,spoof
VALLE/valle2_vctk_35_10s_valle.vocos_.0,spoof
VALLE/valle2_vctk_27_10s_valle.vocos_.0,spoof
VALLE/vctk_diversity_p230_s1,spoof
VALLE/vctk_diversity_p230_s2,spoof
VALLE/valle2_hard_samples_7_valle.0,spoof
VALLE/fisher_2_ours,spoof
VALLE/3570-5695-0008.valle_,spoof
VALLE/5142-36377-0023.valle_,spoof
VALLE/librispeech_2300-131720-0040_ours1,spoof
VALLE/valle2_librispeech_1216_cross_infer_valle.vocos_.0,spoof
VALLE/valle2_vctk_35_3s_valle.vocos_.0,spoof
VALLE/vctk_diversity_p246_s2,spoof
VALLE/valle2_hard_samples_7_valle.1,spoof
VALLE/librispeech_1089-134686-0004_ours,spoof
VALLE/1089-134686-0008.valle_,spoof
VALLE/valle2_librispeech_1_cross_infer_valle.vocos_.0,spoof
VALLE/valle2_vctk_46_5s_valle.vocos_.0,spoof
VALLE/vctk_p262_ours,spoof
VALLE/vctk_p248_ours,spoof
VALLE/vctk_p256_ours,spoof
VALLE/fisher_4_ours,spoof
VALLE/librispeech_3570-5696-0002_ours1,spoof
VALLE/emov_db_anger_ours,spoof
VALLE/librispeech_2961-960-0014_ours1,spoof
VALLE/valle2_vctk_36_3s_valle.vocos_.0,spoof
VALLE/260-123440-0019.valle_,spoof
VALLE/valle2_librispeech_78_conti_infer_valle.vocos_.0,spoof
VALLE/vctk_diversity_p226_s1,spoof
VALLE/1320-122617-0011.valle_,spoof
VALLE/4992-41806-0011.valle_,spoof
VALLE/librispeech_diversity_sample2_0,spoof
VALLE/librispeech_908-157963-0027_ours,spoof
VALLE/valle2_hard_samples_89_valle.0,spoof
VALLE/valle2_hard_samples_48_valle.1,spoof
VALLE/valle2_hard_samples_46_valle.1,spoof
VALLE/valle2_vctk_35_5s_valle.vocos_.0,spoof
VALLE/librispeech_1320-122617-0000_ours1,spoof
VALLE/61.valle_,spoof
VALLE/valle2_librispeech_74_cross_infer_valle.vocos_.0,spoof
VALLE/valle2_hard_samples_40_valle.0,spoof
VoiceBox/68,spoof
VoiceBox/81,spoof
VoiceBox/38,spoof
VoiceBox/36,spoof
VoiceBox/10,spoof
VoiceBox/42,spoof
VoiceBox/0,spoof
VoiceBox/17,spoof
VoiceBox/30,spoof
VoiceBox/88,spoof
VoiceBox/89,spoof
VoiceBox/91,spoof
VoiceBox/54,spoof
VoiceBox/90,spoof
VoiceBox/46,spoof
VoiceBox/49,spoof
VoiceBox/80,spoof
VoiceBox/87,spoof
VoiceBox/77,spoof
VoiceBox/86,spoof
VoiceBox/47,spoof
VoiceBox/101,spoof
VoiceBox/103,spoof
VoiceBox/98,spoof
VoiceBox/25,spoof
VoiceBox/69,spoof
VoiceBox/44,spoof
VoiceBox/100,spoof
VoiceBox/28,spoof
VoiceBox/52,spoof
VoiceBox/64,spoof
VoiceBox/78,spoof
VoiceBox/57,spoof
VoiceBox/48,spoof
VoiceBox/6,spoof
VoiceBox/94,spoof
VoiceBox/43,spoof
VoiceBox/83,spoof
VoiceBox/7,spoof
VoiceBox/59,spoof
VoiceBox/12,spoof
VoiceBox/32,spoof
VoiceBox/84,spoof
VoiceBox/85,spoof
VoiceBox/74,spoof
VoiceBox/23,spoof
VoiceBox/55,spoof
VoiceBox/40,spoof
VoiceBox/39,spoof
VoiceBox/75,spoof
VoiceBox/58,spoof
VoiceBox/37,spoof
VoiceBox/97,spoof
VoiceBox/53,spoof
VoiceBox/41,spoof
VoiceBox/22,spoof
VoiceBox/21,spoof
VoiceBox/13,spoof
VoiceBox/72,spoof
VoiceBox/73,spoof
VoiceBox/76,spoof
VoiceBox/11,spoof
VoiceBox/66,spoof
VoiceBox/29,spoof
VoiceBox/31,spoof
VoiceBox/71,spoof
VoiceBox/9,spoof
VoiceBox/93,spoof
VoiceBox/16,spoof
VoiceBox/5,spoof
VoiceBox/92,spoof
VoiceBox/102,spoof
VoiceBox/27,spoof
VoiceBox/35,spoof
VoiceBox/1,spoof
VoiceBox/67,spoof
VoiceBox/34,spoof
VoiceBox/18,spoof
VoiceBox/99,spoof
VoiceBox/24,spoof
VoiceBox/45,spoof
VoiceBox/65,spoof
VoiceBox/8,spoof
VoiceBox/70,spoof
VoiceBox/26,spoof
VoiceBox/79,spoof
VoiceBox/20,spoof
VoiceBox/4,spoof
VoiceBox/60,spoof
VoiceBox/96,spoof
VoiceBox/33,spoof
VoiceBox/63,spoof
VoiceBox/19,spoof
VoiceBox/3,spoof
VoiceBox/82,spoof
VoiceBox/51,spoof
VoiceBox/95,spoof
VoiceBox/15,spoof
VoiceBox/56,spoof
VoiceBox/2,spoof
VoiceBox/50,spoof
